timestamp,open,high,low,close,volume
1770519600,69324.01,69394.99,69001,69047.16,0
1770523200,69047.16,69315.27,68913.52,69291.85,0
1770526800,69291.85,69374.32,69094.8,69174.45,0
1770530400,69174.45,69364.4,69035.22,69303.4,0
1770534000,69305,69657,69165.19,69650.96,0
1770537600,69646.06,70720.55,69477.33,70594.06,0
1770541200,70594.07,70646.65,70033.15,70050,0
1770544800,70055.98,70386.11,69824.79,70208.64,0
1770548400,70208.64,71150,70159.51,70937.94,0
1770552000,70937.94,71223.78,70632,71187.85,0
1770555600,71187.84,71466.64,70922.3,71466.63,0
1770559200,71466.63,71508,71041.31,71207.31,0
1770562800,71208.18,71439.7,70726.62,71137.43,0
1770566400,71134.02,71202,70200.4,70362.98,0
1770570000,70362.98,70820.63,70350.57,70734.95,0
1770573600,70734.96,71364.73,70674.78,71087.51,0
1770577200,71087.51,71479.9,71085.78,71380.16,0
1770580800,71380.62,71380.63,70651.63,70793.13,0
1770584400,70793.14,71086.87,70500,70652.38,0
1770588000,70652.38,71064.21,70544.54,71010.37,0
1770591600,71016.48,72232.17,69933.02,70279.33,0
1770595200,70279.32,70728.27,70067.88,70444.02,0
1770598800,70444.01,70875,70012.81,70322.54,0
1770602400,70322.54,70953.23,70164.84,70570,0
1770606000,70578.9,71380.13,70559.37,71241.43,0
1770609600,71239.85,71305.03,70853.87,70937.27,0
1770613200,70936.93,71058.7,70750.01,70991.78,0
1770616800,70991.78,70991.78,70254,70604.02,0
1770620400,70604,70841.02,70287.42,70358.02,0
1770624000,70358.02,70554.99,69344.52,69812.49,0
1770627600,69812,70084.05,69400,69564.83,0
1770631200,69564.83,69659.48,68351.4,68658,0
1770634800,68658,68953.22,68511.9,68868.8,0
1770638400,68868.79,69182.78,68790.48,69079.99,0
1770642000,69079.98,69238.2,68522.21,68525.52,0
1770645600,68526,69692.22,68233.01,69232.41,0
1770649200,69229.57,69841,68761.9,69533.85,0
1770652800,69529.36,70388.48,69051,70050,0
1770656400,70055.48,70956.62,69826,70570.09,0
1770660000,70570.09,70970,70038.08,70377.04,0
1770663600,70377.03,71042.44,70219.99,70922.12,0
1770667200,70922.98,71101.35,70461,70707.99,0
1770670800,70707.99,70782,69783.48,70363.99,0
1770674400,70362.03,70692.89,70232.58,70336.78,0
1770678000,70336.77,70543.77,70020.73,70101.99,0
1770681600,70101.98,70213.97,69699.3,69782.01,0
1770685200,69782.02,70489.99,69782.02,70441.98,0
1770688800,70445.86,70445.86,69946.89,70060,0
1770692400,70063.56,70123.1,69153,69450.74,0
1770696000,69450.74,69853.25,69411.47,69782.99,0
1770699600,69782.99,69808.72,69159.93,69399.8,0
1770703200,69399.79,69449.53,68630.65,68871.58,0
1770706800,68871.99,69145.6,68800,68859.02,0
1770710400,68859.02,69165.88,68662.82,69075.85,0
1770714000,69075.84,69348.31,68888,69088.15,0
1770717600,69088.15,69212.02,68854.8,68860,0
1770721200,68859.99,69016.92,68403.03,68457.44,0
1770724800,68466,68796.26,68375.98,68550.07,0
1770728400,68550.07,69085.36,68311.09,68971.7,0
1770732000,68976.04,69538.03,67857,68402,0
1770735600,68402,69501.21,68234.01,69256.02,0
1770739200,69253.15,69783.93,68884.67,69480.45,0
1770742800,69480.44,69970.59,69268.43,69900.01,0
1770746400,69902.28,69920.6,68582,68857.99,0
1770750000,68856.03,69275.66,68650,69030.13,0
1770753600,69030.13,69100,68588.42,68708.94,0
1770757200,68711.99,68965.97,68290.99,68618.47,0
1770760800,68611.01,68820,68521.97,68658,0
1770764400,68654.01,68822.21,68458.6,68803.65,0
1770768000,68803.65,69198.32,68737.93,69135.27,0
1770771600,69139.01,69248,68859.45,68935.12,0
1770775200,68935.12,69120.19,68558.21,68639.68,0
1770778800,68640.9,68712.89,67950.21,68132.94,0
1770782400,68132.93,68280.66,67321,67542,0
1770786000,67544,67765.6,67348.22,67362,0
1770789600,67362,67445.24,66502.3,66767.44,0
1770793200,66766.58,67215.38,66600.2,66986.18,0
1770796800,66988.33,67084.97,66744.01,66947.59,0
1770800400,66947.59,67074.88,66683.02,66843.93,0
1770804000,66843.93,66856.63,66340,66498.5,0
1770807600,66498.49,67076.56,66440.18,67026.84,0
1770811200,67025.43,67402,66932.88,67103.52,0
1770814800,67103.81,67658.83,66700.05,67421.88,0
1770818400,67421.88,68788,66400.77,66542.49,0
1770822000,66545.85,66787.3,65702.95,66490,0
1770825600,66487.72,67225,65900,65986.57,0
1770829200,65986.56,66876,65809.79,66466,0
1770832800,66470.63,67268,66090.39,67233.02,0
1770836400,67233.01,67819.56,67071.3,67540.29,0
1770840000,67540.28,67712.11,67113.56,67517.41,0
1770843600,67516.76,68296.88,67354,67755.09,0
1770847200,67755.08,67820.77,67306,67381.02,0
1770850800,67382.76,67509.96,66729.19,67024.93,0
1770854400,67032.71,67647.67,66993.75,67409.07,0
1770858000,67410.09,67994.94,67409.07,67644.1,0
1770861600,67644.1,67743.49,67360.74,67384.39,0
1770865200,67383.89,67548.28,67251.83,67533.13,0
1770868800,67533.13,67631,66927.85,66961.38,0
1770872400,66961.4,67157.22,66614.15,67095,0
1770876000,67094.95,67174.99,66962.15,67169.34,0
